process A;process B;process C;
1;0;0; 
53;36;21; 
103;68;39; 
152;107;56; 
202;133;81; 
251;164;99; 
301;180;111; 
354;217;131; 
407;249;148; 
457;276;163; 
508;299;179; 
571;342;193; 
620;373;214; 
668;404;230; 
718;421;242; 
768;449;262; 
818;472;286; 
867;504;300; 
918;531;314; 
969;567;327; 
1018;600;340; 
1067;640;356; 
1117;673;371; 
1167;699;386; 
1221;725;398; 
1270;757;412; 
1321;798;423; 
1372;826;439; 
1422;862;457; 
1475;895;467; 
1525;932;490; 
1573;969;512; 
1624;1005;526; 
1673;1033;544; 
1725;1060;564; 
1774;1092;586; 
1824;1124;603; 
1875;1159;618; 
1926;1183;628; 
1978;1219;652; 
2029;1250;674; 
2078;1274;683; 
2128;1301;700; 
2180;1333;720; 
2231;1361;735; 
2282;1394;754; 
2331;1437;769; 
2383;1461;785; 
2433;1493;800; 
2484;1523;819;
